"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval"
1933,0,0.05418,0.05208,0.26,100000,5208,96130,6279695,62.8,FALSE
1933,1,0.00887,0.00883,0.5,94792,837,94374,6183565,65.23,FALSE
1933,2,0.00402,0.00402,0.5,93955,377,93767,6089191,64.81,FALSE
1933,3,0.00287,0.00287,0.5,93578,268,93444,5995425,64.07,FALSE
1933,4,0.00223,0.00223,0.5,93310,208,93206,5901981,63.25,FALSE
1933,5,0.00185,0.00185,0.5,93102,172,93016,5808775,62.39,FALSE
1933,6,0.00164,0.00164,0.5,92930,153,92853,5715759,61.51,FALSE
1933,7,0.00147,0.00147,0.5,92777,136,92709,5622906,60.61,FALSE
1933,8,0.00132,0.00132,0.5,92640,122,92579,5530197,59.7,FALSE
1933,9,0.00119,0.00119,0.5,92518,110,92463,5437618,58.77,FALSE
1933,10,0.0011,0.0011,0.5,92408,101,92357,5345155,57.84,FALSE
1933,11,0.00106,0.00106,0.5,92306,98,92258,5252798,56.91,FALSE
1933,12,0.0011,0.0011,0.5,92209,101,92158,5160540,55.97,FALSE
1933,13,0.00121,0.00121,0.5,92108,111,92052,5068382,55.03,FALSE
1933,14,0.00139,0.00139,0.5,91996,128,91932,4976330,54.09,FALSE
1933,15,0.00163,0.00163,0.5,91868,149,91794,4884397,53.17,FALSE
1933,16,0.00187,0.00186,0.5,91719,171,91634,4792604,52.25,FALSE
1933,17,0.0021,0.0021,0.5,91548,192,91452,4700970,51.35,FALSE
1933,18,0.00233,0.00233,0.5,91356,213,91250,4609518,50.46,FALSE
1933,19,0.00256,0.00256,0.5,91144,233,91027,4518268,49.57,FALSE
1933,20,0.00279,0.00278,0.5,90911,253,90784,4427241,48.7,FALSE
1933,21,0.00299,0.00299,0.5,90657,271,90522,4336457,47.83,FALSE
1933,22,0.00316,0.00316,0.5,90387,285,90244,4245935,46.98,FALSE
1933,23,0.0033,0.00329,0.5,90101,297,89953,4155691,46.12,FALSE
1933,24,0.0034,0.00339,0.5,89804,304,89652,4065739,45.27,FALSE
1933,25,0.00346,0.00346,0.5,89500,310,89345,3976087,44.43,FALSE
1933,26,0.00353,0.00353,0.5,89190,315,89033,3886741,43.58,FALSE
1933,27,0.0036,0.0036,0.5,88876,320,88716,3797708,42.73,FALSE
1933,28,0.00367,0.00367,0.5,88556,325,88394,3708992,41.88,FALSE
1933,29,0.00374,0.00374,0.5,88231,330,88066,3620599,41.04,FALSE
1933,30,0.00381,0.00381,0.5,87902,335,87734,3532532,40.19,FALSE
1933,31,0.00392,0.00391,0.5,87567,342,87396,3444798,39.34,FALSE
1933,32,0.00406,0.00406,0.5,87224,354,87048,3357402,38.49,FALSE
1933,33,0.00426,0.00425,0.5,86871,369,86686,3270355,37.65,FALSE
1933,34,0.0045,0.00449,0.5,86502,388,86308,3183668,36.8,FALSE
1933,35,0.00476,0.00475,0.5,86114,409,85909,3097361,35.97,FALSE
1933,36,0.00497,0.00496,0.5,85705,425,85492,3011451,35.14,FALSE
1933,37,0.00513,0.00512,0.5,85280,436,85062,2925959,34.31,FALSE
1933,38,0.00525,0.00524,0.5,84844,444,84621,2840897,33.48,FALSE
1933,39,0.00536,0.00534,0.5,84399,451,84174,2756276,32.66,FALSE
1933,40,0.00549,0.00547,0.5,83948,459,83719,2672102,31.83,FALSE
1933,41,0.00571,0.00569,0.5,83489,475,83251,2588383,31,FALSE
1933,42,0.00603,0.00601,0.5,83014,499,82764,2505132,30.18,FALSE
1933,43,0.00643,0.00641,0.5,82514,529,82250,2422368,29.36,FALSE
1933,44,0.00688,0.00686,0.5,81986,563,81705,2340118,28.54,FALSE
1933,45,0.00739,0.00736,0.5,81423,599,81124,2258413,27.74,FALSE
1933,46,0.0079,0.00787,0.5,80824,636,80506,2177289,26.94,FALSE
1933,47,0.00844,0.0084,0.5,80188,674,79851,2096783,26.15,FALSE
1933,48,0.00902,0.00898,0.5,79514,714,79157,2016933,25.37,FALSE
1933,49,0.00966,0.00961,0.5,78800,758,78421,1937776,24.59,FALSE
